

﻿ID,Tipo,SKU,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status do imposto","Classe de imposto","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vendido individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de downloads","Dias para expirar o download",Ascendente,"Grupo de produtos","Aumentar vendas","Venda cruzada","URL externa","Texto do botão",Posição,"Nome do atributo 1","Valores do atributo 1","Visibilidade do atributo 1","Atributo global 1"
48,variable,,Sushi,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Japonesa,"Sabado, Sexta",,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/sushi.webp,,,,,,,,,0,Porções,"1 pessoa, 2 pessoas, 4 pessoas",1,1
49,variable,,"Paçoca de carne",1,0,visible,"A paçoca de carne é feita com farinha de mandioca, cebola e carne seca moída. Pode ser consumida junto com o baião de dois. Para se ter o sabor original da receita nordestina um dos segredos é socar no pilão.",,,,taxable,,1,,,0,0,,,,,1,,,,Nordestina,"Quarta, Sabado",,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/pacoca-de-carne.jpg,,,,,,,,,0,Porções,"1 pessoa, 2 pessoas",1,1
50,variable,,Moqueca,1,0,visible,"A moqueca é um cozido de peixe, encontrado especialmente nos estados da Bahia, Pará, Amazonas e Espírito Santo, com variações regionais significativas. Em geral, a moqueca é um prato preparado em uma panela de barro e consiste em peixe cozinho (pode ser cação) com outros frutos do mar como camarão, além de temperos. Entre eles, está o leite de coco e o azeite de dendê. Uma boa ideia é combinar com o pirão, que é feito com o caldo do cozimento do peixe misturado com farinha de mandioca.",,,,taxable,,1,,,0,0,,,,,1,,,,Nordestina,Sabado,,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/moqueca.jpg,,,,,,,,,0,Porções,"1 pessoa, 2 pessoas, 4 pessoas",1,1
51,variable,,"Foccacia assada",1,0,visible,"uma foccacia assada no forno com abobrinha, tomates assados, mix de cogumelos, azeitona preta, cebola roxa, raspas de limão e castanhas do Pará.",,,,taxable,,1,,,0,0,,,,,1,,,,Vegano,Sabado,,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/foccacia-assada.jpg,,,,,,,,,0,Porções,"1 pessoa, 2 pessoas",1,1
53,variable,,"Nhoque alla piemontese",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Massas,Terça,,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/nhoque-alla-piemontese.jpg,,,,,,,,,0,Porções,"1 pessoa, 2 pessoas, 4 pessoas",1,1
54,variable,,"Moqueca de Caju",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Nordestina,Quinta,,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/MoquecadeCaju.jpg,,,,,,,,,0,Porções,"1 pessoa, 2 pessoas, 4 pessoas",1,1
55,variable,,"Polenta com ragu de cogumelo",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Vegano,"Quarta, Sexta",,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/polenta-com-ragu-de-cogumelo.jpg,,,,,,,,,0,Porções,"1 pessoa, 2 pessoas, 4 pessoas",1,1
56,variable,,"Feijoada Vegana",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Vegano,"Quarta, Quinta",,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/feijoada-vegana.jpg,,,,,,,,,0,Porções,"1 pessoa, 2 pessoas, 4 pessoas",1,1
57,variable,,"Carne de Sol",1,0,visible,"A carne de sol representa o sabor forte da cultura nordestina e pode ser acompanhada de purê de mandioca - ou macaxeira, como é conhecida por lá. Símbolo da região, ela pode ser finalizada com manteiga de garrafa e queijo coalho, outras duas presenças garantidas no cardápio do nordeste. Ao contrário do que se pensa, a carne é macia e saborosa, deixando no seu paladar a certeza de ter aproveitado o melhor da comida nordestina.",,,,taxable,,1,,,0,0,,,,,1,,,,Nordestina,Terça,,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/carne-de-sol.jpg,,,,,,,,,0,Porções,"1 pessoa, 2 pessoas, 4 pessoas",1,1
58,simple,,"Veggie burguer",1,0,visible,"hambúrguer feito com grão de bico, quinoa, aveia e curry, servido com rúcula da horta da casa e tomates.",,,,taxable,,1,,,0,0,,,,,1,,,"59,99",Vegano,Segunda,,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/Cadillac_veggie-burguer.jpg,,,,,,,,,0,,,,
59,variable,,"Buchada de bode",1,0,visible,"No nordeste, a buchada é feito com as entranhas do bode, no caso rins, fígado e vísceras brancas (tripas). Elas são lavadas, fervidas, cortadas, temperadas e cozidas em bolsas que geralmente são feitas com o próprio estômago do animal. Recebe este nome porque supostamente é feita de bode. Ainda assim, é possível encontrar buchadas preparadas com vísceras de carneiro ou até mesmo boi.",,,,taxable,,1,,,0,0,,,,,1,,,,Nordestina,Segunda,,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/buchada-de-bode.jpg,,,,,,,,,0,Porções,"1 pessoa, 2 pessoas, 4 pessoas",1,1
60,variable,,"Brusquetta com pão assado",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Vegano,Domingo,,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/Brusquetta.jpg,,,,,,,,,0,Porções,"1 pessoa, 2 pessoas, 4 pessoas",1,1
61,variable,,"Baião de dois",1,0,visible,"<div>Um prato típico do sertão nordestino, o Baião de Dois é a mistura certeira do arroz com feijão. Muito forte na culinária do Ceará, a receita é muito simples e super saborosa. O arroz cru é cozido já no caldo de feijão de corda pronto, juntamente com temperos como cebola, tomate, pimentão e especiarias, como o coentro e a cebolinha. Para ficar ainda mais <span style=""text-decoration: line-through;"">gordo</span> delicioso, adiciona-se torresmo, linguiça e pedaços de queijo coalho.</div>",,,,taxable,,1,,,0,0,,,,,1,,,,Nordestina,"Domingo, Quinta, Segunda",,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/biao-de-dois.jpg,,,,,,,,,0,Porções,"1 pessoa, 2 pessoas, 4 pessoas",1,1
62,variable,,Acarajé,1,0,visible,"O acarajé tem origem africana e é um bolinho frito no azeite de dendê, feito com feijão fradinho, sal, alho, gengibre, cebola e recheado com camarão. É muito consumido no estado da Bahia! Se por lá te perguntarem se você prefere “quente ou frio” na verdade é referente ao nível de pimenta. Quanto mais “quente” mais apimentado será o seu acarajé.",,,,taxable,,1,,,0,0,,,,,1,,,,Nordestina,Domingo,,http://projeto-comes-e-bebes.local/wp-content/uploads/2022/08/acaraje.jpg,,,,,,,,,0,Porções,"1 pessoa, 2 pessoas, 4 pessoas",0,1
63,variation,,"Acarajé - 1 pessoa",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"59,99",,,,,,,id:62,,,,,,1,Porções,"1 pessoa",,1
64,variation,,"Acarajé - 2 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"75,99",,,,,,,id:62,,,,,,2,Porções,"2 pessoas",,1
65,variation,,"Acarajé - 4 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"95,99",,,,,,,id:62,,,,,,3,Porções,"4 pessoas",,1
66,variation,,"Baião de dois - 1 pessoa",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"59,99",,,,,,,id:61,,,,,,1,Porções,"1 pessoa",,1
67,variation,,"Baião de dois - 2 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"75,99",,,,,,,id:61,,,,,,2,Porções,"2 pessoas",,1
68,variation,,"Baião de dois - 4 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"95,99",,,,,,,id:61,,,,,,3,Porções,"4 pessoas",,1
69,variation,,"Brusquetta com pão assado - 1 pessoa",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"59,99",,,,,,,id:60,,,,,,1,Porções,"1 pessoa",,1
70,variation,,"Brusquetta com pão assado - 2 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"75,99",,,,,,,id:60,,,,,,2,Porções,"2 pessoas",,1
71,variation,,"Brusquetta com pão assado - 4 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"95,99",,,,,,,id:60,,,,,,3,Porções,"4 pessoas",,1
72,variation,,"Buchada de bode - 1 pessoa",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"59,99",,,,,,,id:59,,,,,,1,Porções,"1 pessoa",,1
73,variation,,"Buchada de bode - 2 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"75,99",,,,,,,id:59,,,,,,2,Porções,"2 pessoas",,1
74,variation,,"Buchada de bode - 4 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"95,99",,,,,,,id:59,,,,,,3,Porções,"4 pessoas",,1
76,variation,,"Carne de Sol - 1 pessoa",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"59,99",,,,,,,id:57,,,,,,1,Porções,"1 pessoa",,1
77,variation,,"Carne de Sol - 2 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,75.99,,,,0,,,,,,,,,,id:57,,,,,,2,Porções,"2 pessoas",,1
78,variation,,"Carne de Sol - 4 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"95,99",,,,,,,id:57,,,,,,3,Porções,"4 pessoas",,1
79,variation,,"Nhoque alla piemontese - 1 pessoa",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"59,99",,,,,,,id:53,,,,,,1,Porções,"1 pessoa",,1
80,variation,,"Nhoque alla piemontese - 2 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"75,99",,,,,,,id:53,,,,,,2,Porções,"2 pessoas",,1
81,variation,,"Nhoque alla piemontese - 4 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"95,99",,,,,,,id:53,,,,,,3,Porções,"4 pessoas",,1
82,variation,,"Feijoada Vegana - 1 pessoa",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"59,99",,,,,,,id:56,,,,,,1,Porções,"1 pessoa",,1
83,variation,,"Feijoada Vegana - 2 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"75,99",,,,,,,id:56,,,,,,2,Porções,"2 pessoas",,1
84,variation,,"Feijoada Vegana - 4 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"95,99",,,,,,,id:56,,,,,,3,Porções,"4 pessoas",,1
85,variation,,"Polenta com ragu de cogumelo - 1 pessoa",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"59,99",,,,,,,id:55,,,,,,1,Porções,"1 pessoa",,1
86,variation,,"Polenta com ragu de cogumelo - 2 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"75,99",,,,,,,id:55,,,,,,2,Porções,"2 pessoas",,1
87,variation,,"Polenta com ragu de cogumelo - 4 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"95,99",,,,,,,id:55,,,,,,3,Porções,"4 pessoas",,1
88,variation,,"Foccacia assada - 1 pessoa",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"59,99",,,,,,,id:51,,,,,,1,Porções,"1 pessoa",,1
89,variation,,"Foccacia assada - 2 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"75,99",,,,,,,id:51,,,,,,2,Porções,"2 pessoas",,1
90,variation,,"Moqueca de Caju - 1 pessoa",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"59,99",,,,,,,id:54,,,,,,1,Porções,"1 pessoa",,1
91,variation,,"Moqueca de Caju - 2 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"75,99",,,,,,,id:54,,,,,,2,Porções,"2 pessoas",,1
92,variation,,"Moqueca de Caju - 4 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"95,99",,,,,,,id:54,,,,,,3,Porções,"4 pessoas",,1
93,variation,,"Moqueca - 1 pessoa",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"59,99",,,,,,,id:50,,,,,,1,Porções,"1 pessoa",,1
94,variation,,"Moqueca - 2 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"75,99",,,,,,,id:50,,,,,,2,Porções,"2 pessoas",,1
95,variation,,"Moqueca - 4 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"95,99",,,,,,,id:50,,,,,,3,Porções,"4 pessoas",,1
96,variation,,"Paçoca de carne - 1 pessoa",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"59,99",,,,,,,id:49,,,,,,1,Porções,"1 pessoa",,1
97,variation,,"Paçoca de carne - 2 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"75,99",,,,,,,id:49,,,,,,2,Porções,"2 pessoas",,1
98,variation,,"Sushi - 1 pessoa",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"59,99",,,,,,,id:48,,,,,,1,Porções,"1 pessoa",,1
99,variation,,"Sushi - 2 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"75,99",,,,,,,id:48,,,,,,2,Porções,"2 pessoas",,1
100,variation,,"Sushi - 4 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"95,99",,,,,,,id:48,,,,,,3,Porções,"4 pessoas",,1
101,variation,,"Salada de Macarrão com Queijo e Bacon - 1 pessoa",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"59,99",,,,,,,id:46,,,,,,1,Porções,"1 pessoa",,1
102,variation,,"Salada de Macarrão com Queijo e Bacon - 2 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"75,99",,,,,,,id:46,,,,,,2,Porções,"2 pessoas",,1
103,variation,,"Salada de Macarrão com Queijo e Bacon - 4 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"95,99",,,,,,,id:46,,,,,,3,Porções,"4 pessoas",,1
104,variation,,"Miso - 1 pessoa",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"59,99",,,,,,,id:40,,,,,,1,Porções,"1 pessoa",,1
105,variation,,"Miso - 2 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"75,99",,,,,,,id:40,,,,,,2,Porções,"2 pessoas",,1
106,variation,,"Miso - 4 pessoas",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"95,99",,,,,,,id:40,,,,,,3,Porções,"4 pessoas",,1
